,,,,,,,,
Sr.No.,Type,Que,,Concept,Last Attempt,Diff Level,,
44,, Find the 3rd largest element in a list.,,"int ans = numbers.stream().sorted(Comparator.reverseOrder())
                         .distinct().skip(2).findFirst().orElse(0);",19-11-25,Medium,"Here we are dealing with Wrapper class only, hence we not converted it to intStream().
remeber about skip method, not limit.
IMP :- When you want to use stream method use wrapper class only, and if you want to use functions like sum(), average() in that case convert it into intStream().",
45,,Find all strings that are palindromes in a list.,,List<String> ans = words.stream().filter(str -> str.equals(new StringBuilder(str).reverse().toString())).collect(Collectors.toList());,19-11-25,Medium,"reverse method is present for StringBuilder, and to covert StringBuilder into String we use toString() method.",
46,,Reverse each string in a list.,,,19-11-25,Easy,Can skip if done prev que,
47,,"Given a map, filter entries with values greater than 10 and collect keys into a list.",,"List<String> ans = map.keySet().stream().filter(s -> map.get(s) > 10).collect(Collectors.toList());
                                                     OR
map.entrySet().stream()
    .filter(entry -> entry.getValue() > 10)
    .map(Map.Entry::getKey)
    .collect(Collectors.toList());",19-11-25,Medium,Main logic is of how we can get keys.,
48,,Remove duplicates from a list,,,19-11-25,Easy,,
49,,Find the most frequent character in a string.,,"char ans = input.chars().mapToObj(ch -> (char)ch)
                       .collect(Collectors.groupingBy(c -> c, Collectors.counting()))
                       .entrySet().stream().max(Map.Entry.comparingByValue())
                       .map(Map.Entry::getKey)
                       .orElseThrow();",19-11-25,Hard,,
50,,Find common elements between two lists.,,"List<Integer> common = list1.stream()
    .filter(list2::contains)
    .collect(Collectors.toList());",19-11-25,Easy,Collection having contains method,
51,,Calculate the sum of squares of all even numbers in a list.,,"int sumOfSquares = numbers.stream()
    .filter(n -> n % 2 == 0)
    .mapToInt(n -> n * n)
    .sum();",19-11-25,Medium,"If you haven't understand about intStream and Wrapper class stream, then this is where you will understand it clearly.",
52,, Partition strings into palindromes and non-palindromes.,,"Map<Boolean, List<String>> partitioned = words.stream()
    .collect(Collectors.partitioningBy(word -> word.equals(new StringBuilder(word).reverse().toString())));",19-11-25,Medium,"Don't forget method name is partioningBy , not partitionBy.",
53,,Skip the first 3 elements and limit the result to the next 2.,,,19-11-25,Easy,Understhand when to use skip and when limit.,
54,,Create a array of words from a sentence ,,"String[] word = sentence.split("" "");",19-11-25,Medium,,
55,,Find the longest word in a sentence using Streams.,,"String longestWord = Arrays.stream(sentence.split("" ""))
    .max(Comparator.comparingInt(String::length))
    .orElse(null);",19-11-25,Hard,"Understand:
1. How to create an array of words from sentence..
2. Comparator.comapringInt() method.
3. How to create stream using Array. ",
56,,Concatinate two list into one list sing stream,,,,Medium,,
